x f587797729: [stage1] 3.1, f587797729: [stage1] 3.1
1,9.6633
20,6.3737
40,2.7365
50,2.4793
60,2.3727
80,2.302
90,2.2704
100,2.2452
130,2.1975
150,2.1828
160,2.1595
180,2.1209
190,2.1034
200,2.0948
210,2.0742
220,2.0632
240,2.0302
250,2.0125
260,2.1148
270,2.022
280,1.9784
300,1.9315
310,1.9066
320,1.8875
330,1.8747
360,1.7865
370,1.7735
380,1.753
390,1.7406
410,1.6882
420,1.673
430,1.6472
440,1.6225
460,1.5837
470,1.5566
500,1.5325
510,1.4851
520,1.4686
530,1.4383
540,1.4204
560,1.4118
570,1.3834
580,1.3741
590,1.3692
610,1.3253
620,1.3224
630,1.3093
650,1.3023
680,1.2836
700,1.2914
720,1.2712
730,1.2677
770,1.2456
780,1.2493
790,1.2344
840,1.1986
850,1.2089
870,1.1912
880,1.1953
900,1.2068
910,1.1866
940,1.1713
960,1.171
970,1.1792
990,1.1723
1000,1.1699
1020,1.1667
1040,1.168
1050,1.1708
1060,1.166
1070,1.1719
1120,1.1556
1130,1.1464
1140,1.1469
1160,1.1443
1170,1.124
1180,1.1342
1190,1.1368
1200,1.1322
1210,1.133
1230,1.1218
1240,1.1198
1250,1.1208
1260,1.1246
1280,1.1334
1300,1.1212
1310,1.1257
1320,1.1165
1330,1.1201
1350,1.1231
1380,1.1275
1390,1.1317
1400,1.1471
1430,1.1286
1440,1.1267
1450,1.134
1460,1.133
1480,1.1368
1490,1.1361
1510,1.1288
1520,1.1249
1530,1.143
1540,1.1275
1560,1.1386
1570,1.1361
1590,1.1361
1610,1.1335
1620,1.1333
1630,1.1337
1640,1.1227
1730,1.1206
1740,1.1256
1750,1.1253
1760,1.1123
1810,1.1181
1820,1.1077
1830,1.1154
1850,1.1084
1860,1.1185
1870,1.11
1890,1.1068
1910,1.1163
1920,1.1097
1950,1.1114
1980,1.115
1990,1.1116
2030,1.1091
2040,1.1146
2050,1.0931
2080,1.0928
2090,1.1009
2110,1.1
2120,1.1053
2130,1.1003
2140,1.099
2160,1.0916
2180,1.0925
2190,1.0886
2200,1.0993
2210,1.0915
2220,1.0954
2230,1.0913
2240,1.0835
2250,1.0902
2260,1.1022
2290,1.0815
2320,1.0846
2340,1.0767
2350,1.0761
2370,1.0854
2380,1.0671
2390,1.0803
2400,1.0867
2410,1.0656
2430,1.0652
2450,1.063
2470,1.0686
2480,1.0776
2490,1.0702
2500,1.0714
2510,1.0636
2520,1.0649
2530,1.0749
2540,1.0729
2550,1.0633
2560,1.0691
2600,1.0732
2610,1.0681
2620,1.0704
2640,1.0813
2650,1.0631
2690,1.0756
2710,1.0696
2720,1.0764
2730,1.074
2740,1.0729
2750,1.0581
2790,1.0574
2820,1.0604
2830,1.0662
2850,1.0624
2870,1.0581
2880,1.0672
2890,1.0686
2900,1.0562
2910,1.0682
2920,1.0725
2940,1.0724
2960,1.0713
2970,1.062
2980,1.0686
3000,1.0701
3010,1.051
3020,1.0551
3050,1.0616
3070,1.0568
3080,1.0679
3090,1.065
3110,1.071
3140,1.0532
3160,1.0673
3180,1.0724
3190,1.0683
3200,1.0695
3220,1.069
3230,1.0706
3250,1.0766
3260,1.0855
3280,1.0664
3290,1.0803
3320,1.0611
3350,1.0617
3360,1.0802
3370,1.0763
3380,1.05
3400,1.052
3410,1.0538
3420,1.0702
3440,1.056
3480,1.0711
3500,1.0653
3510,1.0593
3520,1.0597
3530,1.0662
3550,1.0558
3560,1.0547
3570,1.0793
3580,1.0629
3590,1.0521
3600,1.0536
3630,1.0724
3640,1.0548
3650,1.0452
3660,1.0522
3670,1.0414
3680,1.0422
3700,1.0599
3730,1.0553
3740,1.051
3770,1.0532
3780,1.0414
3800,1.0487
3810,1.0431
3830,1.0485
3840,1.0358
3850,1.0597
3860,1.0542
3870,1.0483
3880,1.0422
3890,1.0511
3910,1.0384
3940,1.0372
3950,1.0414
3960,1.0492
3980,1.0347
3990,1.0321
4000,1.0439
4010,1.0314
4020,1.0386
4060,1.0406
4080,1.0394
4100,1.0537
4110,1.0371
4120,1.0228
4130,1.0434
4150,1.0415
4160,1.0307
4170,1.0413
4180,1.0351
4190,1.048
4210,1.0308
4240,1.042
4260,1.0399
4270,1.0252
4290,1.0195
4310,1.0222
4320,1.0225
4340,1.0202
4350,1.0277
4360,1.0265
4390,1.0279
4400,1.0247
4450,1.0049
4470,1.0201
4480,1.0208
4490,1.008
4500,1.0092
4510,1.0216
4520,1.0099
4540,1.0273
4550,1.0162
4560,1.0059
4570,1.0098
4600,1.016
4630,1.0076
4650,1.0057
4660,1.0189
4680,1.0172
4690,1.0109
4700,1.0126
4720,1.01
4730,1.0113
4740,1.0145
4750,1.0122
4770,1.0173
4780,1.0023
4790,1.013
4800,1.0197
4810,1.0184
4820,1.0072
4840,1.0428
4850,1.0258
4870,1.0135
4880,1.0298
4900,1.0113
4920,1.0013
4940,1.0167
