train_urls,iterable,instruction_tune_compatible,text,caption,instruction,question,response,image_ext,wd_path
30104,True,True,"The image shows the cover of a book titled ""4,5-Dihydro and Disubstituted Imidazolidin Derivatives"" by Rafet Kilincarslan, with a serene ocean scene at the top featuring a bright sun and sea. The image also features a logo for Lambert Academic Publishing and a red stripe at the bottom.",,"You are my helpful, respectful and honest voice assistant. I will give you an image, question and an instruction which you'll use to answer my questions. Answer the question directly.",Write a detailed caption for this image.,"The image shows the cover of a book titled ""4,5-Dihydro and Disubstituted Imidazolidin Derivatives"" by Rafet Kilincarslan, with a serene ocean scene at the top featuring a bright sun and sea. The image also features a logo for Lambert Academic Publishing and a red stripe at the bottom.",jpeg,/fsx_1/data_curation_output/cyprien/output/wds_caption_llama11b_fair_m2c2_clip_filtered_0.37985/all/
3000,True,True,"BB10001 Fraum: - whose fiancee Sandra- Edge leaves withithe Silver Ferns on Wednesday for the wordd netbalt championships in Birmingham, Gray, a policeman, was to join A three day course In Whangerel yesterday and the couple planned à ,brief meeting Auckland alrport.) Edge arranged leave from the Ferns training camp only to be told at the airport that Gray Would not be till today. Child stolen A boy; 4. was hradvertently stolen alorig with a car tri Auckland. Police said the Woman; who, left her son in her car ""for only, à matter of seconds had also leff, the keys in The thief got the car stuck in mud about a kilometre away. and ran off. WORLD Mine fire kills An und Itre in six ware killed and others injured at the Helona gold mine near Welkom in South Atrica's Free Staté province yesterday chas been spaled off: Sinen returning to the surface metres below the surface. Six of them, knowling that three of their coming up. rushed back through the smoke to warn them Thrpe did not return and diedi with. the three miners: they tried to warn: GE Scientre BUSINESS Call to reject code The Government, should reject. the formal takeovers code, f requiring equal treatment of minortty-shareholders; and Source: https://www.industrydocuments.ucsf.edu/docs/ffbb0193 Firefigliter work for no PROFESSIONÁL Auckland have tof- fered tó work ifor no pay. com pensate for stäff cuts, effectivé from today, that they claim willlen- dariger in duty positions five in Weltington, four in Audk land;' and twojeachi in Christchurch and Dunedin would; affectithe staffing of specialist firei vehicles neededi at. high-rise buildings; hos pitals, other própety ties withi the potentialiforibig'fires, Professional Firefightersinionsed retary Derek Best said last Mra Best jaid and Dunedin be considering soon whether they will work-for,mo pay. He the ;specialist vehicles vere dirst outs to many big fires, but the staff cuts might mem they would not arrive immediately; if at cause in callins extra staff 1800 in from home to work them. Staff lévels on normal fire trucks might also,be affécted (because fire fighters wöuld be pulled from them to work on the specialist vehicles. Fire Séryice(spokesmanwyic Hewson rejected the:claim the spe cialistivélicies werelbeeded/as first responses to fires. and, saidnit ¿oost Bank tips me rate dive in is the 197 MR GRAHAM: strong ass Mr Grahs ; thusiastic, Queen in That's By too much cies staffe But v enough SI could-no called"" of different had dif Tosters. Havin on statio insurance safety Teg point in will.be a the rest worried's FMr'B the five. the where ""th distance¹ stand petrof"", tan isnorkel and foi re Firefigi that 1",,,,,jpg,/fsx_3/dataset01/idl-wds_v2
145,True,True,"Get Free Tasting Beer An Insiders Guide To The Worlds Greatest Drink Tasting Beer An Insiders Guide To The Worlds Greatest Drink When somebody should go to the books stores, search inauguration by shop, shelf by shelf, it is really problematic. This is why we provide the books Page 1/28",,"Answer the question using a single word or a continuous phrase from the image.
The phrase can span multiple lines.",What is the title of the document?,Tasting Beer An Insiders Guide To The Worlds Greatest Drink,png,/fsx_0/user/qyh/data/idl_qa_filtered_tar_only/
1800,True,True,TENDER BSGEE 2021-008 INSURANCES OF THE EUROPEAN SCHOOLS Tender Specifications – part 2: Technical specifications,,,,,png,/fsx_3/dataset01/pdfa-eng-wds-converted
108,True,True,,,"
Answer the question using a single word or phrase.",Who is the author of this book?,Zondervan,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_ocr_vqa
4603,True,True,,,,,"\begin{remark} It is possible to define Weyl group $W$ for this algebra.
Group $W$ contains the group of permutations of the coordinates in $Z_p$.

It is very instructive to study the link between theory of Kac--Moody affine algebras and our theory looking on this example.
\end{remark}",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_pdf_ocr_unicode
4447,True,True,,,,,"becomes predominant for negative \(\lambda_{a}\), with the ratio \(R_{\gamma\gamma}(h^{0})\) almost equal to its standard value, and \(250\leq m_{H^{0}}<450\) (GeV). This feature persists even when \(t\bar{t}\) threshold is reached at \(m_{H^{0}}>350\) GeV.



According to Eq. 4.1, we display the deficit of \(R_{\gamma\gamma}(h^{0})\) in the left panel of Fig. 5 as a function of \(H^{\pm}\) mass for various values of \(\lambda_{a}\) and with \(m_{H^{0}}\geq 140\) GeV. As it can be seen, a mass about \(255\) GeV and above is allowed for \(H^{\pm}\) within \(+1\sigma\) of ATLAS value for \(\lambda_{a}=-1.4\). Once \(\lambda_{a}\) increases, this lower bound decreases consistently to reach its lowest value around \(\sim\,197\) GeV, given \(\lambda_{a}>-0.5\). This situation is exactly the opposite for CMS, where only the range \(200\leq m_{H^{\pm}}\leq 250\) (GeV) is excluded for \(\lambda_{a}=1.4\). Besides, \(R_{\gamma\gamma}(h^{0})\) tends towards its standard value for \(\lambda_{a}\neq 0\), and to 1 for large \(m_{H^{\pm}}\) whatever the variation of \(\lambda_{a}\).

In this scenario, the anti-correlation between \(R_{\gamma\gamma}(h^{0})\) and \(R_{\gamma\,Z}(h^{0})\) is displayed in the left panel of Fig. 5, taking into account the experimental data at \(1\sigma\). At first sight, the \(R_{\gamma\,Z}(h^{0})\) deviation is almost nul relatively to its standard value, and contrary to what has been claimed in [13], \(R_{\gamma\gamma}(h^{0})\) and \(R_{\gamma\,Z}(h^{0})\) are always anti-correlated, independently of \(\lambda_{a}\) sign.

### 4.2 \(H^{0}\) SM-like invisible decays

This section investigates the possible existence of a scalar state \(h^{0}\) lighter than \(H^{0}\), with \(M_{H}^{0}\approx 125\). Such a scenario has attracted attention within a plethora of theoretical frameworks dealing with new physics beyond standard model , particularly those considering enlargement of the",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/arxiv_pages_large_1m_scanned
13337,True,True,,,,,"additional features related to learning context, interaction times and hint usage provided by the ASSISTment 2009 [Feng et al. (2009)] and Junyi15 [Chang et al. (2015)] datasets. While that work employs most information contained in the Junyi15 dataset, it fails to utilize the prerequisite structure among topics in the curriculum, and does not evaluate the potential benefit of those features for logistic regression models. EKT [Liu et al. (2019)] uses the question text to learn exercise embeddings which are then used for downstream performance predictions. MVKM [Zhao et al. (2020)] uses a multi-view tensor factorization to model knowledge acquisition from different types of learning materials (quizzes, videos, ...). SAINT+ [Shin et al. (2021)] and MUSE [Zhang et al. (2021)] augment transformer models with interaction time features to capture short-term memorization and forgetting. Closest to the spirit of this manuscript is an early work by Feng2009:Addressing. That work integrates features related to accuracy, response time, attempt-usage and help-seeking behavior into a logistic regression model to enhance exam score predictions. However, their exam score prediction problem is inherently different from our problem of continuous performance modeling because it focuses only on the final learning outcome and does not capture user proficiency on the question and KC level. Unlike our work Feng2009:Addressing, do not evaluate features related to lecture video and reading material consumption, prerequisite structure and learning context. Their study is also limited to two small-scale datasets (\(<1000\) students) collected by the ASSISTment system.

This paper offers the first systematic study of a wide variety of features extracted from alternative types of log data. It analyzes four recent large-scale datasets which capture the learning process at different levels of granularity and focus on various aspects of student behaviour. Our study identifies a set of features which can improve the accuracy of knowledge tracing techniques and we give recommendations regarding which types of user interactions should be captured in log data of future tutoring systems. Further, our feature evaluation led us to novel logistic regression models achieving a new state-of-the-art performance on all four datasets.

## 3 Datasets



In recent years multiple education companies released large-scale ITS datasets to promote research on novel knowledge assessment techniques. Compared to earlier sizable datasets such as Bridge to Algebra 2006 [Stamper et al. (2010)] and ASSISTment 2012 [Feng et al. (2009)] these new datasets capture an order of magnitude more student responses making them attractive for data intensive modeling approaches. Table 2 provides an overview of the four recent large-scale student log datasets, from different ITS systems, we use in this paper. Taken together, these datasets capture over 197 million lines of log data from over 789,000 students, including correct/incorrect responses to over 87 million questions. While each ITS collects the conventional timestamp for each question (item) presented to the student, the correctness of their answer, and knowledge component (KC) attributes associated with the question, they also contain additional interaction data. Going beyond pure question-solving activities multiple datasets provide information about how and when students utilize reading materials, lecture videos and hints. In addition there are various types of meta-information about the individual students (e.g. age, gender, ...) as well as the current learning context (e.g. school, topic number, ...). All four tutoring systems exhibit a modular structure in which learning activities are assigned to distinct categories (e.g. pre-test, effective learning, review, ...). Further, three of the datasets provide meta-information indicating which questions, videos, etc. are related to which KCs.

Figure 2 visualizes the distribution of the number of responses per student for each dataset (i.e.",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/arxiv_pages_large
11637,True,True,,,,,"The limited-knowledge adversary Charlie eavesdrops and controls node v1, shown with the broken boundary. If Charlie erases the data stored on node v1, the value of the cut C(V, V̄ ), with V̄ = {x1out, x 6 in, x 6 out, x 7 in, x 7 out,DC}, between the source node s and a data collector DC accessing nodes v6, v7, v8 becomes equal to 5.",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/arxiv_figures_large
7752,True,True,,,"
Answer the question using a single word.",What is the value of role?,5,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_stage2_dvqa
4425,True,True,,,"
Answer the question using either Yes or No.",Does Deep Sky Blue have the maximum area under the curve?,Yes,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_stage2_figureqa
310,True,True,,,"
Answer the question using a single word or phrase.",What color is the floor?,Black.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_visual_genome__question_per_image
3940,True,True,,,,,"Popes Alexander VI and Callixtus III, and King Alfonso XIII of Spain - Santa Maria in Monserrato degli Spagnoli - Rome, Italy. The Spanish National Church of Santiago and Montserrat, known as Church of Holy Mary in Monserrat of the Spaniards is a Roman Catholic titulus church and National Church in Rome of Spain, dedicated to the Virgin of Montserrat.",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_landmarks_wiki_stage2
1302,True,True,,,,,"Pyrostegia venusta, also commonly known as flamevine or orange trumpet vine, is a plant species of the genus Pyrostegia of the family Bignoniaceae originally native to southern Brazil, Bolivia, northeastern Argentina and Paraguay; today, it is also a widely cultivated garden species.",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_plants_wiki_stage2
31,True,True,,,"
Answer the question using a single word or phrase.",What do these street lights do?,control traffic,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_okvqa
100,True,True,,,"Answer the question using a single word or a continuous phrase from the image.
The phase can span multiple lines.
The phrase is less than 15 words.",How much did the world's largest cheese weigh?,"34,591 lbs (15,723 kg)",png,/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_sg_data_curation_flywheel_5p5k_0909/20240909
100,True,True,,,"Answer the question using a single word or a continuous phrase from the image.
The phase can span multiple lines.
The phrase is less than 15 words.",What is the next block after the loop is executed?,Increment/Decrement,png,/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_sg_data_curation_flywheel_1p3k_0917
100,True,True,,,Answer the question using a single word or a continuous phrase from the image. The phase can span multiple lines. The phrase is less than 15 words.,"What is the Total deferred revenue and deposits for June 30, 2018?",$91 million,jpg,/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_data_flywheel_3k_v1_0929
100,True,True,,,Answer the question using a single word or a continuous phrase from the image. The phrase can span multiple lines.,What number is associated with Consent of Ernst & Young LLP?,23.1,jpg,/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_syn_img_flywheel_2k_rotated_0927
100,True,True,,,Answer the question using a single word or a continuous phrase from the image. The phase can span multiple lines. The phrase is less than 15 words.,What is the total amount due on this receipt?,$19.60,jpg,/fsx_0/datasets_30days/flywheel/data_flywheel_5k_ig_no_val_7p3k_v2_1010
100,True,True,,,,Who was the pastor of the church in May 1926?,Reverend P. W. Phillips,jpg,/fsx_0/datasets_30days/flywheel/data_flywheel_5k_ig_no_val_4p7k_rotated_1011
6,True,True,,,,"What is the percentage of families with an average yearly income of 10-14,999?",23.1,jpg,/fsx_0/datasets_30days/data_flywheel_5k_ig_val_batch_1_1015/202401016
6,True,True,,,,What is the code at the top right side of the page?,090741,jpg,/fsx_0/datasets_30days/data_flywheel_5k_ig_prod_batch_2_1015/202401016
100,True,True,,,,What are the cheese options for add-ins?,"Cheddar Cheese, or Pepper Jack Cheese",jpg,/fsx_0/datasets_30days/flywheel/data_flywheel_5k_ig_val_6k7_rotated_1018/20241018
114,True,True,,,"
Answer with the options letter from the given choices directly.
","Question: What state is this city in?
A: illinois
B: new zealand
C: new york
D: ohio","
Answer: D",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_a_okvqa_w_simple
2334,True,True,,,"
Provide a single-word answer.",Are there fewer small shiny cubes in front of the tiny blue cube than cyan metallic blocks?,no,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_clevr_math_train_diverse_instr
1,True,True,,,"
Keep it simple with a one-word or one-phrase reply","In the figure above, l || m. Which of the following must equal 180?",k + p + s,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_geos_simpl
3,True,True,,,,,"Dynamic of Bible Study in The new fear Part %SC% Text :- 11 Tim %SC% John 3 3:16, : 1- 8 Central Truth :- Every Sincere Christian wants to have a more meaningful under to order in study Bible personal stand The Bible better Memory Verse: 11 Timothy 2:15- study God, unto approved thyself show to a workman than needeth not to be ashamed, rightly dividing the word of truth ( 1)",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_gnhk_data
45,True,True,,,,,days.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_iam_data
64,True,True,,,"
Provide a terse response to the following question.",How many squares are there?,8,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_iconqa_data_choose_text_train_simple_resp
37,True,True,,,"
Please offer a concise response in the form of a single word or phrase to the question.",How many shapes are blue?,4,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_iconqa_data_fill_in_blank_train_v2_diverse_instr
27,True,True,,,,,I hate you less than everyone else. . .,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_imgur5k_data
611,True,True,,,"
Provide a concise reply that consists of a solitary word or a brief phrase that directly addresses the inquiry.",Is the person in the picture an association football player?,Yes,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_kvqa_update_diverse_instr
13,True,True,,,"
Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
","Question: Find O X.
Choices:
A:5
B:12
C:13
D:26","
Answer: A",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_mathverse
425,True,True,,,"
Could you please take a moment to carefully review the options provided and select the one that you believe is the most suitable and accurate response to the question?","Question: What are the cells in this image called?
A. Red blood cells
B. eosinophils
C. Basophils
D. T lymphocytes
","
Answer: B.",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_ominimed_vqa_update_diverse_instr
3334,True,True,,,"
Respond with a single number.",What is the difference between the Savings(% of GNI) of Hungary and Savings(% of GNI) of Rwanda in Net savings(excluding particulate emission damage) ?,-5.0809,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_plotqa_train_subset_1m_diverse_instr
293,True,True,,,,,clef: C1  keySignature: FM  timeSignature: C  rest-quarter   / note-Bb4_quarter  note-A4_quarter  note-A4_quarter  barline  rest-quarter  note-D5_quarter  note-Eb5_half  barline  note-D5_half  note-Bb4_half  barline  note-Bb4_half  note-Bb4_quarter  note-C5_eighth  note-C5_eighth  barline  note-D5_half  note-D5_quarter  rest-quarter  barline  ,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_primus_v2
25,True,True,,,"
Look the Table B in the pink block. Examine the provided table, extract the essential details, and furnish a succinct response to the associated question, capitalizing on the relevant information contained within the table.",How many National Football League did win the runners-up the fourth season of the I-League.,three National Football League,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_rw_poster_8k_fixed
20,True,True,,,"
Please select the accurate response to the posed question.\n","Find x.
A: 7
B: 7 \sqrt { 2 }
C: 7 \sqrt { 3 }
D: 14",\nD,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_s2_intergps_diverse_instr
21,True,True,,,"
Answer with the options letter from the given choices directly.
","Question: Which of these continents does the prime meridian intersect?
A: North America
B: Africa
C: South America
","
Answer: B",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_science_qa
45,True,True,,,"
Answer the question using a single word or phrase.",What is this aircraft's license plate?,PH-BEA,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_st_vqa
77,True,True,,,"
Please provide a brief response consisting of a single word or number.",A Technical Assistance Manager monitored his customers' wait times. How many people waited for exactly 90 minutes?,2,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_tabmwp_train_diverse_instr
44,True,True,,,"
Answer with the options letter from the given choices directly.
","Question: Which part is used for excretion?
a. Rectum
b. Esophagus
c. Stomach
d. Liver","
Answer: a",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_tqa_w_simple
310,True,True,,,"
Answer the question using a single word or phrase.",What color is the floor?,Black.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_visual_genome__question_per_image
19,True,True,,,"
Answer the question with one short sentence.",What is in front of the person?,A pizza.,png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_vsr_qa_train
3135,True,True,,,,,"Sir Bertram Stevens (seated, centre), Premier of New South Wales (Australia) from 1932 to 1939, and members of his cabinet",png,/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_wit_english_940k_0425
