train_urls	iterable	instruction_tune_compatible	text	caption	instruction	question	response	image_ext	wd_path	vol	multiplier	total (M)
30104	TRUE	TRUE	YES		YES	YES	YES	jpeg	/fsx_1/data_curation_output/cyprien/output/wds_caption_llama11b_fair_m2c2_clip_filtered_0.37985/all/	30,000,000	1	30
3000	TRUE	TRUE	YES					jpg	/fsx_3/dataset01/idl-wds_v2	20,000,000	1	20
145	TRUE	TRUE	YES		YES	YES	YES	png	/fsx_0/user/qyh/data/idl_qa_filtered_tar_only/	135,000	10	1.35
108	TRUE	TRUE			YES	YES	YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_ocr_vqa	32,163	40	1.2865
4603	TRUE	TRUE					YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/sg_pdf_ocr_unicode	1,380,751	1	1.381
4447	TRUE	TRUE					YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/arxiv_pages_large_1m_scanned	1,333,901	1	1.3339
13337	TRUE	TRUE					YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/arxiv_pages_large	4,000,000	1	4
11637	TRUE	TRUE					YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/arxiv_figures_large	3,000,000	1	3
7752	TRUE	TRUE			YES	YES	YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_stage2_dvqa	2,325,316	1	2.325
4425	TRUE	TRUE			YES	YES	YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_stage2_figureqa	1,327,368	1	1.327
310	TRUE	TRUE			YES	YES	YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_visual_genome__question_per_image	92,877	1	0.0929
3940	TRUE	TRUE					YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_landmarks_wiki_stage2	1,000,000	1	1
1302	TRUE	TRUE					YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_plants_wiki_stage2	391,000	1	0.391
31	TRUE	TRUE			YES	YES	YES	png	/fsx_1/datasets_30days/datarecipe_source/sg_mmllm_stage2_compliant_cap_qa_exp28_kosher_v2/20240827v4/mmllm_sft_okvqa	9,000	100	0.9
100	TRUE	TRUE			YES	YES	YES	png	/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_sg_data_curation_flywheel_5p5k_0909/20240909	0	100	0
100	TRUE	TRUE			YES	YES	YES	png	/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_sg_data_curation_flywheel_1p3k_0917	0	100	0
100	TRUE	TRUE			YES	YES	YES	jpg	/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_data_flywheel_3k_v1_0929	0	100	0
100	TRUE	TRUE			YES	YES	YES	jpg	/fsx_0/datasets_30days/flywheel/sg_mmllm_sft_syn_img_flywheel_2k_rotated_0927	0	100	0
100	TRUE	TRUE			YES	YES	YES	jpg	/fsx_0/datasets_30days/flywheel/data_flywheel_5k_ig_no_val_7p3k_v2_1010	0	100	0
100	TRUE	TRUE				YES	YES	jpg	/fsx_0/datasets_30days/flywheel/data_flywheel_5k_ig_no_val_4p7k_rotated_1011	0	100	0
6	TRUE	TRUE				YES	YES	jpg	/fsx_0/datasets_30days/data_flywheel_5k_ig_val_batch_1_1015/202401016	0	100	0
6	TRUE	TRUE				YES	YES	jpg	/fsx_0/datasets_30days/data_flywheel_5k_ig_prod_batch_2_1015/202401016	0	100	0
100	TRUE	TRUE				YES	YES	jpg	/fsx_0/datasets_30days/flywheel/data_flywheel_5k_ig_val_6k7_rotated_1018/20241018	40,000	100	4
